Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
U California Santa Cruz Expands Campus Farm,Feb 19 2015 - 11:24am,"February 24, 2015","University of California, Santa Cruz",,"February 10, 2015",http://news.ucsc.edu/2015/02/quarry-field.html,"(U.S.): The new site adds approximately three more acres of growing space to the campus' farm for growing food, offering students a place for hands-on farming experiences, and adds additional research acreage for those interested in studying organic production practices.",Co-Curricular Education & Student Organizing
U California Merced Tests Plug That Tracks Electricity Source,Feb 11 2015 - 2:25pm,"February 17, 2015","University of California, Merced",,"February 11, 2015",http://www.ucmerced.edu/news/2015/%E2%80%98smart%E2%80%99-plugs-could-help-campus-reduce-carbon-footprint,"The new plug called WattTime, developed through the university's technology research institute, might carry the ability to allow universities to reduce their carbon footprint by tracking the fuel source of the energy being used to charge the carts, solar, natural gas, coal, geothermal or hydroelectric, and determine the cheapest and least environmentally impactful time to charge. WattTime plugs will gather data for a couple of months in the pilot program, and communicate a charging strategy for university facilities to most efficiently charge its electric cart fleet.",Climate
U Maryland Offers Free Sustainability Classes to Students,Feb 13 2015 - 4:31pm,"February 17, 2015","University of Maryland, College Park",,"February 11, 2015",http://www.diamondbackonline.com/news/article_7598e6d6-b174-11e4-81e8-cb0048ccb2ef.html,"Called Sustainable Tuesdays, the series combines a pre-existing class with weekly guest speakers from the architecture, planning and preservation school that students can attend. The two semester-long classes about sustainable living can be attended without adding extra credits to their course load.",Curriculum
Energy Dept $2.5M for Collegiate Clean Energy Tech,Feb 16 2015 - 1:58pm,"February 17, 2015",,U.S. Department of Energy,"February 11, 2015",http://energy.gov/eere/articles/energy-department-announces-25-million-inspire-collegiate-clean-energy-entrepreneurs,The newly announced $2.5 million in funding for the Cleantech University Prize (Cleantech UP) aims to support the commercialization of promising technologies for sectors such as solar and wind that reduce carbon pollution and grow the clean energy economy. The Cleantech UP Collegiate Competitions will provide prizes for eight individual university-focused competitions that will equip students with business skills to move clean energy technologies from the discovery phase to the marketplace.,Opportunities
U Cincinnati Opens Bike Workstation,Feb 17 2015 - 1:32pm,"February 24, 2015",University of Cincinnati,,"February 11, 2015",http://www.newsrecord.org/college_living/uc-bike-kitchen-encourages-sustainability-among-students/article_c91b8cac-b262-11e4-bd5e-671956ecea22.html,"(U.S.): The university's new Bike Kitchen gives students a place to come learn how to work on their own bikes for free, and offers bikes for free rental for three days at a time.",Transportation
Indiana U Northwest Introduces EV Charging Stations,Feb 17 2015 - 1:43pm,"February 24, 2015",Indiana University Northwest,,"February 11, 2015",http://www.iun.edu/news/2015/ev-charging-stations.htm,(U.S.): The two new electric vehicle charging units will accommodate four vehicles in an effort to reduce carbon dioxide emissions from commuting.,Transportation
U Iowa Begins Growing Energy With Biofuels,Feb 19 2015 - 2:33pm,"February 24, 2015",University of Iowa,,"February 11, 2015",http://now.uiowa.edu/2015/02/ui-establish-dedicated-energy-crops-eastern-iowa,"(U.S.): With the goal of achieving 40 percent renewable energy consumption by 2020, the university will soon be growing a variety of grass that will be harvested and used to supply power, steam and chilled water to the main campus as part of its Biomass Fuel Project, designed to reduce the use of fossil fuels by substituting locally available renewable materials in the main power plant.",Energy
USA Today: Campus Bike Reuse Programs,Feb 17 2015 - 12:25pm,"February 24, 2015",USA TODAY,,"February 12, 2015",http://college.usatoday.com/2015/02/12/campus-bike-recycling-programs-give-cash-strapped-students-a-ride/,"(U.S.): The recently released article points out some universities and colleges that are collecting unwanted bikes, repairing them to working order, and lending them to students who might not otherwise be able to afford a bicycle.",Campus Sustainability in the Media
SUNY New Paltz Installs Electric Vehicle Charging Stations,Feb 17 2015 - 1:49pm,"February 24, 2015",State University of New York at New Paltz,,"February 12, 2015",http://wamc.org/post/suny-new-paltz-installs-its-first-electric-vehicle-charging-stations,"(U.S.): As part of the university's overall campus sustainability plan, the six new stations were installed to prepare for an increase of electric vehicles on campus.",Transportation
California State U Northridge Earns $360K Sustainability Rebate,Feb 17 2015 - 2:00pm,"February 24, 2015","California State University, Northridge",,"February 12, 2015",http://csunshinetoday.csun.edu/university-news/csuns-green-efforts-pay-off-university-to-get-360000-in-ladwp-rebates/,"(U.S.): The recent installation of 12 electric vehicle charging stations and replacing turf with drought-tolerant landscaping have earned the university more than $360,000 in rebates from the Los Angeles Department of Water and Power.",Funding
Five Universities Participate in 'Solarize U' Program,Feb 17 2015 - 3:27pm,"February 24, 2015",,,"February 12, 2015",http://wesleyanargus.com/2015/02/12/university-participates-in-solarize-u-program/,"(U.S.): Eastern Connecticut State University, Southern Connecticut State University, University of New Haven, University of Connecticut, Wesleyan University and Yale University are now participating in the State of Connecticut program to offer faculty, staff and students' families the opportunity to compare online competitive bids from pre-screened installers of solar energy systems.",Energy
ACUPCC Highlights Progress Reports,Feb 18 2015 - 10:43am,"February 24, 2015",Second Nature,,"February 12, 2015",http://secondnature.org/blog/2015-02-12/progress-report-highlights,"(U.S.): The American College and University Presidents' Climate Commitment spotlights noteworthy accomplishments from recent progress report submissions that are inspiring and progressive in their goal of attaining carbon neutrality. The highlights include projects from Creighton University, Salisbury University and University of California at Los Angeles.",Climate
Northern Arizona U Helps Feed Food Insecure Population,Feb 18 2015 - 12:46pm,"February 24, 2015",Northern Arizona University,,"February 12, 2015",http://news.nau.edu/nau-hosts-sandwich-making-event-feed-hungry/#.VOTMJVPF_IW,(U.S.): University students recently had the opportunity to collaborate with Campus Dining and the campus' Food Recovery Network chapter to make sandwiches that were delivered to a local food center whose mission is to feed those who face food insecurity.,Public Engagement
Stanford U Students Hold Panel on Climate Change Education,Feb 20 2015 - 3:02pm,"February 24, 2015",Stanford University,,"February 13, 2015",http://www.stanforddaily.com/2015/02/13/students-for-a-sustainable-stanford-hold-panel-on-agriculture-and-climate-change/,"(U.S.): Students for a Sustainable Stanford and the Stanford School of Earth, Energy & Environmental Sciences recently held a panel to raise public awareness of the interdisciplinary importance of global climate change.",Co-Curricular Education & Student Organizing
Seattle Pacific U Opens Campus to Homeless,Feb 18 2015 - 1:08pm,"February 24, 2015",Seattle Pacific University,,"February 16, 2015",https://www.insidehighered.com/quicktakes/2015/02/16/seattle-pacific-welcomes-homeless-camp-3-months,"(U.S.): For three months, the university will house about 80 homeless people in a tent city. The university has added educational and service programs so that students can learn about the issue of homelessness and provide direct help to those who are living on campus.",Public Engagement
St. Lawrence U Receives $5K to Combat Hunger,Feb 18 2015 - 1:24pm,"February 24, 2015",St. Lawrence University,,"February 16, 2015",http://northcountrynow.com/business/st-lawrence-universitys-campus-kitchen-project-receive-5000-grant-program-development-01367,"(U.S.): The university's Campus Kitchen Project, a student-led effort to combat food waste and hunger by collecting surplus food from on-campus dining halls, community gardens, restaurants and grocery stores and transforming it into meals, recently received $5,000 from CoBank for program development.",Funding
U Asia and the Pacific Installs 300KW Solar System,Feb 19 2015 - 10:18am,"February 24, 2015",,University of Asia and the Pacific,"February 16, 2015",http://manilastandardtoday.com/2015/02/16/ua-p-installs-300-kw-solar-system/,"(Philippines): Helping to reduce energy costs and its carbon footprint, the university's new 300-kilowatt photovoltaic system is supplying electricity to its parking and sports building, and feeding electricity onto the electrical grid.",Energy
Texas State U Creates Bike-Sharing Program,Feb 26 2015 - 3:49pm,"March 03, 2015","Texas State University, San Marcos",,"February 16, 2015",http://star.txstate.edu/node/3333,Abandoned and unclaimed bikes on campus get a second life through the recently launched bike-sharing program that allows the campus community to experience cycling without the cost.,Transportation
Maryville College Introduces New Sustainability Minor,Mar 2 2015 - 3:17pm,"March 03, 2015",Maryville College,,"February 16, 2015",http://www.maryvillecollege.edu/news/2015/2225/mc-to-offer-new-minor-in-sustainability-studies/,"The new minor in Sustainability Studies is designed to complement any major and provides a lens into the economic, environmental and social tiers of any field of study, and provides a global perspective.",Curriculum
Call for Students: Conduct Free Local Business Energy Audits,Feb 11 2015 - 11:19am,"February 17, 2015",,Green Impact Campaign,"February 17, 2015",http://greenimpactcampaign.org/volunteer/,The Green Impact Campaign is a national student-powered movement working to raise awareness of energy consumption. Students across the country are provided with virtual training and cloud-based tools to conduct free energy audits for local businesses in their community.,Opportunities
Call for Applications: Awards in Solar Energy Research,Feb 11 2015 - 1:56pm,"February 17, 2015",,U.S. Department of Energy,"February 17, 2015",http://energy.gov/eere/education/eere-postdoctoral-research-awards,The U.S. Department of Energy's Energy Efficiency and Renewable Energy (EERE) Postdoctoral Research Awards support EERE's mission in energy efficiency and renewable energy by offering recent Ph.D. recipients the opportunity to conduct applied research at universities. The objective of the awards is to support scientific research in energy efficiency and renewable energy by attracting the best scientists and engineers to pursue breakthrough technologies in a highly prestigious postdoctoral research program. Deadline to apply is May 7.,Opportunities
Call for Applications: 2015 Clean Energy Competition,Feb 13 2015 - 2:36pm,"February 17, 2015",,,"February 17, 2015",http://doe-cec.squarespace.com/rules-and-conditions/,"The Clean Energy Competition is a multi-stage, student-organized business plan competition in which teams compete for a $50,000 grand prize and category prizes. University teams from across the U.S. can enter their business ideas in energy efficiency, renewable energy, or infrastructure and resources. Application submissions are due by March 7.",Opportunities
Bowling Green State U Releases Climate Action Plan,Feb 13 2015 - 4:06pm,"February 17, 2015",Bowling Green State University,,"February 17, 2015",http://www.bgsu.edu/content/dam/BGSU/campus-sustainability/documents/sustainability/ACUPCCCAPBGSU.pdf,The university's newly released plan calls for carbon neutrality by 2040 and requires a four percent average annual reduction in metric tons of carbon dioxide equivalent.,Climate
U California Merced Receives $103K Gift for Ecosystem Research,Feb 18 2015 - 12:52pm,"February 24, 2015","University of California, Merced",,"February 17, 2015",http://www.ucmerced.edu/news/2015/mitsubishi-gift-will-expand-naturalist-training,"(U.S.): A new $103,000 gift from the Mitsubishi Corporation Foundation for the Americas allows the university's naturalist courses to expand by adding two part-time coordinators for the Central Valley courses, and buying equipment like field notebooks, binoculars and other supplies.",Funding
Western Michigan U Receives 'Green Seal' Certification,Feb 19 2015 - 3:20pm,"February 24, 2015",Western Michigan University,,"February 17, 2015",http://www.grbj.com/articles/81753-university-earns-green-seal-for-cleaning-operation,"(U.S.): The university's Office of Facilities Management certification process involved documentation, an on-site audit by Green Seal, developing a green cleaning policy, implementing standard operating procedures, and creating ongoing training practices for new and existing team members. Green Seal is a nonprofit in Washington, D.C. that uses science-based programs to encourage organizations and consumers to develop sustainable practices and offers third-party certification to organizations.",Purchasing
Clemson U Researches Biowaste Heat for Campus Greenhouses,Feb 20 2015 - 3:07pm,"February 24, 2015",Clemson University,,"February 17, 2015",http://gsabusiness.com/news/53751-instead-of-landfill-cafeteria-waste-goes-to-greenhouse-heat-project?rss=0,"(U.S.): The research project is using cafeteria waste, normally designated landfill material, to help heat the university's Student Organic Farm greenhouses by combining the waste with wood mulch to produce heated water.",Research
U Kansas Launches Local Produce Delivery to Campus,Mar 2 2015 - 3:33pm,"March 03, 2015",University of Kansas,,"February 17, 2015",http://www.gardneredge.com/news/2015/02/17/9157-local-farms-bring-crops-to-campus-for-employee-student-subscriptions#.VPSeHlPF_IU,The new campus program allows the campus community to sign up to receive weekly produce deliveries from four certified-organic area farms.,Public Engagement
Energy Dept Reveals 2016 Collegiate Wind Competition Participants,Feb 20 2015 - 2:55pm,"February 24, 2015",,U.S. Department of Energy,"February 18, 2015",http://energy.gov/eere/articles/energy-department-announces-2016-collegiate-wind-competition-participants?utm_source=PA934&utm_medium=email&utm_campaign=ProgressAlerts,"(U.S.): The U.S. Department of Energy's 2016 Collegiate Wind Competition challenges teams of undergraduate students to design and build a model wind turbine based on market research and siting considerations, develop a business plan to market their products, and test their turbines against a set of rigorous performance criteria. The twelve teams participating in the competition are Boise State University, The California Maritime Academy, California State University, Chico, Kansas State University, Northern Arizona University, The Pennsylvania State University, Universidad del Turabo (Puerto Rico), University of Alaska Fairbanks, University of Maryland, University of Massachusetts Amherst, University of Massachusetts Lowell and University of Wisconsin Madison.",Research
"Temple U Students Open Campus Cafe Serving Local, Organic Food",Feb 26 2015 - 4:06pm,"March 03, 2015",Temple University,,"February 18, 2015",http://news.temple.edu/news/2015-02-18/student-run-caf-serves-affordable-local-food,"The new student-operated, cooperative cafe serving local, organic, budget-friendly and vegetarian food was birthed from a group of environmental studies students in their senior research seminar.",Dining Services
George Washington U Recycles Used Cooking Oil,Mar 2 2015 - 5:40pm,"March 03, 2015",George Washington University,,"February 18, 2015",http://www.gwhatchet.com/2015/02/17/leftover-grease-from-j-street-to-be-turned-into-biodiesel/,The university recently partnered with a biofuels company that collects used cooking oil from campus dining facilities and recycles it into biodiesel.,Waste
U California System Signs Montreal Carbon Pledge,Feb 24 2015 - 12:28pm,"March 03, 2015","University of California, Office of the President",,"February 19, 2015",http://www.universityofcalifornia.edu/press-room/uc-progress-sustainable-investments-strategy,"In an effort to fully implement an environmental, social and governance (ESG) investment strategy, the pledge commits the university to measuring and annually disclosing the carbon footprint of its investments with the goal of using this information to inform carbon asset risk and management strategies. The university also recently joined two other sustainable investment efforts: the Investor Network on Climate Risk and the Carbon Disclosure Project.",Investment
Texas Christian U Students Increase Campus Sustainability Efforts,Feb 24 2015 - 1:27pm,"March 03, 2015",Texas Christian University,,"February 19, 2015",https://www.tcu360.com/news/2015/02/33779.sga-launches-sustainability-initiative,"At a recent Student Government Association meeting, representatives passed a resolution to create an ad hoc committee to advance student sustainability efforts on campus that includes eliminating paper meeting agendas, offer a paper bag option at campus shopping locations, introduce biodegradable food containers, and create a sustainability education program.",Co-Curricular Education & Student Organizing
Texas A&M U Kingsville Initiates EcoRep Program,Feb 26 2015 - 3:55pm,"March 03, 2015",Texas A&M University-Kingsville,,"February 19, 2015",http://www.southtexannews.com/news/8668-ecoreps-program-seeks-to-educate-students/,"The new learning experience developed by students for freshman students focuses on energy, water conservation and waste minimization as principal ways to promote improved campus sustainability.",Co-Curricular Education & Student Organizing
U Virginia Begins Employee Sustainability Program,Feb 24 2015 - 11:37am,"March 03, 2015",University of Virginia,,"February 20, 2015",http://www.news.virginia.edu/content/uva-employee-program-seeks-turn-workplaces-green,"Seeking to reduce its environmental impact by building more efficient spaces, the university's sustainability committee has started its new, self-reporting Green Workplace Program, which uses a checklist of 60 actions that workplaces can implement to improve operations and reduce cost, and includes eight categories: energy, transportation, purchasing, zero waste, community, health, food and bonus credits.",Human Resources
Hendrix College Approves Sustainability Fund,Feb 24 2015 - 1:36pm,"March 03, 2015",Hendrix College,,"February 20, 2015",https://www.hendrix.edu/news/news.aspx?id=72739,"The newly approved fund, approved by 80 percent of the 600 students who voted on the initiative, will be created by a dedicated $20 per student per semester fee and will be allocated on a competitive basis to large sustainability projects designed by students, faculty and staff.",Funding
Stanford U to Begin Educational Farm,Feb 25 2015 - 12:23pm,"March 03, 2015",Stanford University,,"February 20, 2015",http://www.stanforddaily.com/2015/02/20/educational-farm-to-open-in-spring-as-part-of-larger-sustainability-initiative/,"The new, six-acre farm, opening spring 2015, will be a working farm dedicated to teaching, researching and learning about small-scale agriculture.",Co-Curricular Education & Student Organizing
California State U Fresno Implements Gender-Neutral Housing,Mar 2 2015 - 4:27pm,"March 03, 2015","California State University, Fresno",,"February 22, 2015",http://collegian.csufresno.edu/2015/02/22/university-courtyard-to-implement-gender-neutral-housing/,"As part of an effort to nurture an inclusive campus that promotes diversity, the new option for gender-neutral housing allows same-sex living arrangements in on-campus residences.",Diversity & Inclusion
Lehigh U to Host Equality-Themed Basketball Game,Feb 24 2015 - 11:46am,"March 03, 2015",Lehigh University,,"February 23, 2015",http://www1.lehigh.edu/news/lehigh-host-equality-night-lehigh-vs-bucknell-game,"Sponsored by the university's athletic department and the Pride Center, an upcoming men's game will be themed LGBTQ Equality Game to provide a means for athletes, coaches and fans to stand up and create an atmosphere of inclusion, recognizing the courage and openness of athletes at all levels who have come out as LGBTQ.",Diversity & Inclusion
Heriot-Watt U Malaysia Opens Green Campus,Mar 2 2015 - 5:03pm,"(Unpublished) March 24, 2015",,Heriot-Watt University Malaysia,"February 23, 2015",http://www.thesundaily.my/news/1335896,"(Malaysia): The new campus features a green roof, daylighting, a rainwater harvesting system, and an energy-efficient thermal control system.",Buildings
Sustainability Staffing Survey: Deadline Extension March 10,Feb 16 2015 - 4:55pm,"March 03, 2015 February 24, 2015",,AASHE,"February 24, 2015",https://www.surveymonkey.com/r/higher_ed_sustainability_staffing_2015,"The 2015 Higher Education Sustainability Staffing Survey deadline has been extended! Anyone in a paid sustainability position in higher education can take the survey and be entered to win a FREE AASHE 2015 Conference & Expo registration pass! To qualify for the survey, you must be in a paid sustainability position in a higher education institution or college/university system office with either broad responsibility for campus sustainability, or focus on a particular area such as energy, recycling or curriculum. If you qualify, click here. The survey closes March 10.",Opportunities
U California Berkeley Establishes Chair in Sustainability,Feb 17 2015 - 12:16pm,"February 24, 2015","University of California, Berkeley",,"February 24, 2015",http://campaign.berkeley.edu/stories/story39.php,"(U.S.): The recently established James and Katherine Lau Distinguished Chair in Sustainability will support work that spans the areas of environment and climate, energy supply and demand, and policy and markets. It will be held by the director of the Berkeley Energy and Climate Institute and will advance development of scalable solutions for our planet.",Research
Eight U California System Schools Collaborate to Research Climate,Feb 17 2015 - 1:00pm,"February 24, 2015","University of California, Office of the President",,"February 24, 2015",http://ucop.edu/research-initiatives/programs/catalyst-awards/2015-awards.html#sinervo,"(U.S.): The state's university system has allocated $1.9 million in funding over four years to Berkeley, Davis, Irvine, Los Angeles, Merced, Riverside, San Diego and Santa Barbara for a coordinated approach to studying climate impacts in diverse natural and human-dominated ecosystems. Scientists from the nine campuses will form an institute, develop a strategy to synthesize climate research in a common framework, assess climate change models for California, and extend collaborative research across the school system.",Research
Farm to Institution New England Case Studies,Feb 17 2015 - 2:24pm,"February 24, 2015",,,"February 24, 2015",http://www.farmtoinstitution.org/blog-categories/case-studies,Farm to Institution New England (FINE) has recently published a series of case studies about colleges in New England that have made progress on local food procurement on their campus.,New Resources
New Release: Second Nature Sustainability Sit-Downs Videos,Feb 18 2015 - 12:17pm,"February 24, 2015",Second Nature,,"February 24, 2015",https://www.youtube.com/playlist?list=PLbtnopuXNFKSbRudAuT6rXPlihLKJW4Ju,"The series recently hosted Tim Carter, president of Second Nature, and Katharine Jacobs, director of the Center for Climate Adaptation Science and Solutions and former assistant director in the U.S. Office of Science and Technology Policy in the Executive Office of the President. The series, which consists of 12 interviews, features sustainability leaders from higher education, and non-profit and private sector organizations that work closely with colleges and universities as they discuss higher education’s role in creating a sustainable society.",New Resources
U Arizona Publishes Student Sustainability Report,Feb 20 2015 - 2:46pm,"February 24, 2015","University of Arizona, The",,"February 24, 2015",http://sustainability.arizona.edu/sites/sustainability.arizona.edu/files/Student%20Sustainability%20Survey%20Report_Final.pdf,"(U.S.):  The recently released polling report illustrates important aspects of students and their engagement in sustainability through four main themes: sustainability issues of concern, preferred ways to learn about sustainability, student support for university sustainability initiatives, and students’ sustainability-focused behavior. The university polled a representative sample of the entire student body to gauge behaviors and perceptions as they relate to sustainability.",Co-Curricular Education & Student Organizing
Deadline Extension: AASHE 2015 Conference & Expo Proposals,Feb 23 2015 - 10:49am,"February 24, 2015",,AASHE,"February 24, 2015",http://www.aashe.org/conference/2015,"The AASHE 2015 Conference & Expo deadline for call for proposals has been extended for one more week until March 2 at 11:59 p.m. Eastern. Proposals should highlight sustainability successes and lessons learned. AASHE recently held a live Twitter session https://storify.com/AASHENews/aashe-call-for-proposals-live-tweet-sessio... about the conference call for proposals, and now there's a blog post http://www.aashe.org/blog/aashe-call-proposal-live-tweet-results about the questions and answers. Submission deadline is March 2.",Opportunities
Florida State U Begins Food Recovery Network Chapter,Mar 2 2015 - 2:35pm,"March 03, 2015",Florida State University,,"February 24, 2015",http://www.fsunews.com/story/life/2015/02/24/fsufrn/23931905/,"The new student chapter recovers leftover pre-made food from various locations across campus, including home football games and soon, baseball games, and delivers it to various partner agencies around the city, where it is later distributed to people living in shelters or those who are in need.",Waste
Curtin U Awarded National Green Building Rating,Mar 2 2015 - 2:44pm,"(Unpublished) March 24, 2015",,Curtin University,"February 24, 2015",http://sourceable.net/curtin-university-awarded-australias-first-5-star-green-star/,"(Australia): The Green Building Council of Australia recently awarded the campus a 5 Star Green Star - Communities rating for its master plan, which was assessed for best practice benchmarks for governance and innovation, design excellence, environmental sustainability, economic prosperity and live-ability. The master plan will see 281 acres of the university campus transformed through urban regeneration over a 20-year period.",Assessments & Ratings
EPA Recognizes Chevy for University and College Partnerships,Mar 3 2015 - 8:58pm,"(Unpublished) March 10, 2015",Chevrolet,U.S. Environmental Protection Agency,"February 24, 2015",http://media.gm.com/media/us/en/gm/news.detail.html/content/Pages/news/us/en/2015/feb/0224-epa.html,"The U.S. Environmental Protection Agency recently awarded Chevrolet with its Climate Leadership Award for Innovative Partnerships for it's Chevrolet Clean Energy Campus Campaign that enables participating campuses to create a new source of funding for large-scale energy efficiency efforts. The funding comes from carbon credits from the voluntary carbon market. Participating institutions include Ball State University, Valencia College, Portland State University, Spelman College, University of Illinois at Chicago, University of Wisconsin-Stevens Point, Boston University, Rochester Institute of Technology, University of Illinois at Urbana-Champaign, Grand Valley State University and Southern Oregon University.",Energy
New Release: Second Nature Sustainability Sit-Downs Video,Feb 26 2015 - 1:06pm,"March 03, 2015",Second Nature,,"February 25, 2015",http://youtu.be/ALQNNL5CtpU,"Second Nature's Sustainability Sit-Downs Video series recently hosted M. Lee Pelton, president of Emerson College, who shared the college's sustainability trajectory and take on higher education’s role with regards to sustainability. The Sustainability Sit-Downs Video series, consisting of 12 interviews, features sustainability leaders from higher education, and non-profit and private sector organizations.",New Resources
U Hawai'i Adopts Sustainability Policy,Mar 3 2015 - 8:47pm,"(Unpublished) March 10, 2015",University of Hawaii System Office,,"February 26, 2015",http://www.hawaii.edu/news/article.php?aId=7039,"At the recent systemwide, annual summit on sustainability, the new executive policy on sustainability includes setting specific targets for reducing energy consumption and increasing utilization of renewable energy in 5-year increments, with a goal of becoming carbon neutral by 2050, energy management systems, water conservation, transportation changes, and calls for an increase in local food products.",Coordination & Planning
Portland State U Earns Tree Campus USA Designation,Mar 3 2015 - 10:02pm,"(Unpublished) March 10, 2015",Portland State University,,"February 26, 2015",http://www.pdx.edu/sustainability/news/arbor-day-foundation-names-portland-state-tree-campus-usa,"Its 49-acre urban campus recently earned the designation for meeting Arbor Day's Tree Campus USA standards, which include maintaining a tree advisory committee, a campus tree-care plan, dedicated annual expenditures for its campus tree program, an Arbor Day observance, and student service-learning project.",Grounds
Portland State U to Increase Local Food Procurement,Mar 3 2015 - 10:08pm,"(Unpublished) March 17, 2015",Portland State University,,"February 26, 2015",http://www.pdx.edu/sustainability/news/portland-state-set-increase-local-food-purchases,"Under the new amendment developed by the Campus Sustainability Office and university's food services provider, Aramark, PSU Dining will increase total local and third-party certified food expenditures each by 5 percent annually, based on purchases made in 2014.",Purchasing
Antioch College Holds Sustainable Housing Charrette,Mar 3 2015 - 10:28pm,"(Unpublished) March 10, 2015",Antioch College,,"February 26, 2015",http://wyso.org/post/antioch-college-aims-build-sustainable-village-campus,"The college recently gave an open invitation to the campus and surrounding community to provide input on a housing project that will focus on affordability and environmental impact. Located on campus but open to the community to rent or purchase, the connected units will contain renewable energy and water filtration systems.",Buildings
Arizona State U Convenes Educational Task Force on Sustainability,Mar 3 2015 - 10:34pm,"(Unpublished) March 10, 2015",Arizona State University,,"February 26, 2015",https://asunews.asu.edu/20150226-sustainability-teachers-academy,"The university's new National Sustainability Teachers’ Academy educational task force for sustainability aims to bring teams of elementary, middle and high school teachers from across the nation together to focus on solutions-based curriculum with an emphasis on urban systems. University sustainability scientists and scholars will help coach and lead hands-on sessions on solutions surrounding food, water, energy and climate.",Curriculum
Amherst College Creates Statement on Sustainability,Mar 3 2015 - 10:59pm,"(Unpublished) March 10, 2015",Amherst College,,"February 26, 2015",http://www.recorder.com/news/townbytown/amherst/15837030-95/amherst-college-sets-goal-of-climate-friendly-campus,"The newly adopted statement by the college's 21 trustees calls for the creation of a climate action plan, exploration of renewable sources of energy, investment in campus clean energy and energy conservation, and creating a revolving fund to support other clean energy projects.",Coordination & Planning
Clark U Expands Composting Capacity,Mar 4 2015 - 2:46pm,"(Unpublished) March 10, 2015",Clark University,,"February 26, 2015",http://news.clarku.edu/news/2015/02/26/clark-university-making-composting-commonplace-around-campus/,"Clark Composts, a student group dedicated to education and expansion of campus composting, assisted in expanding intake of compostable material by equipping the library with bins. The student group will focus next on instituting composting in the newest residence hall and in academic departments.",Waste
Berry College Holds Tree Campus USA Honor,Mar 3 2015 - 10:49pm,"(Unpublished) March 10, 2015",Berry College,,"February 27, 2015",http://www.berry.edu/newsdetail/?nid=51539616745,"In the past year, in addition to meeting the Arbor Day Foundation's requirements for the designation, the college started growing trees from seed and grafts for the sole purpose of replanting its grounds with species that are healthy and native, ensuring that trees of historical or good quality endure for years to come.",Grounds
Portland State U Launches Graduate Certificate in Public Design,Feb 24 2015 - 11:32am,"March 03, 2015",Portland State University,,"March 3, 2015",http://www.pdx.edu/the-arts/recent-and-upcoming/cpid-launches-graduate-certificate-in-public-interest-design,"The university's School of Architecture's new certificate in Public Interest Design aims to prepare students in sustainability, community development and architecture to aid underserved populations through sustainable, human-centered design methods via in-classroom studies and hands-on field experience, working directly with communities in need.",Curriculum
North Central College Invests in LED Lighting,Feb 26 2015 - 3:37pm,"March 03, 2015",North Central College,,"March 3, 2015",http://northcentralcollege.edu/news/north-central-college-expands-investment-energy-saving-led-lighting,"A $200,000 investment allowed the university to recently complete the light-emitting diode (LED) retrofit in three buildings, avoiding $35,000 annually in electricity costs. The new lighting includes occupancy sensors and dimming features.",Energy
New Release: Second Nature Sustainability Sit-Downs Video,Mar 4 2015 - 3:57pm,"(Unpublished) March 10, 2015",Second Nature,,"March 4, 2015",http://youtu.be/AbH0QxvHVkc,"Second Nature's Sustainability Sit-Downs Video series recently featured Rebecca Edler from College of Menominee Nation, who spoke about the unviersity's long history of sustainability, and her hopes for our collective future. The Sustainability Sit-Downs Video series, consisting of 12 interviews, features sustainability leaders from higher education, and non-profit and private sector organizations.",New Resources
U South Carolina Panhellenic Takes Green Living Strides,Mar 3 2015 - 6:29pm,"(Unpublished) March 10, 2015",University of South Carolina,,"March 10, 2015",http://sc.edu/green/greengreek.php,"One of the university's EcoReps programs, the Green House Certification, was awarded to a Greek house for their implementation of sustainable living practices and is based off of the university's similar certification for dorm rooms. Greek life also initiated Green Greeks, a weekly meeting where attendees learn and discuss one topic within sustainability for representatives to take back to their chapter.",Co-Curricular Education & Student Organizing
U California Merced Hires First Sustainability Director,Mar 3 2015 - 6:44pm,"(Unpublished) March 10, 2015","University of California, Merced",,"March 10, 2015",http://panorama.ucmerced.edu/news/new-sustainability-director-aims-enhance-campus-culture,"Colleen McCormick will preside over the university's first sustainability office. McCormick comes from Indiana University-Purdue University's office of sustainability where she served as director for 3 1/2 years. Her role for the new position includes developing communications and building collaborations among faculty, students, staff and community members in an effort to engage and advance campus and community sustainability initiatives.",Coordination & Planning
Call for Abstracts: Sustainability and the Library,Mar 3 2015 - 10:17pm,"(Unpublished) March 10, 2015",,,"March 10, 2015",http://sspp.proquest.com/about/special.html,"Sustainability: Science, Practice, & Policy invites contributions that integrate science, practice, and policy in original research, case studies, and policy analysis. Submissions should address social, economic, political, and biological/environmental interactions relevant to sustainability problems. Deadline to submit abstracts is May 1.",Opportunities
Brevard College Commits to Fossil Fuel Divestment,Mar 4 2015 - 3:08pm,"(Unpublished) March 10, 2015",Brevard College,,"March 10, 2015",https://brevard.edu/news-events/news/brevard-college-commits-fossil-fuel-divestment,"The Brevard College Investment Committee presented the motion to the Board of Trustees, who voted in favor at its annual spring meeting. The motion calls for divestment of its four percent in fossil fuels by 2018.",Investment
