Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
Lehigh U Transitions to 100% Recycled Paper,Jan 27 2014 - 8:07pm,"January 28, 2014",Lehigh University,,"January 28, 2014",http://www.lehigh.edu/~inubs/purchasing/RecycledPaperInitiative.shtml,"(U.S.): An initiative by the university's Purchasing Sustainability group, the transition to 100 percent recycled paper at all public computing sites comes after a request by the student community.",Purchasing
U Albany Awarded Two Grants for Campus Sustainability,Feb 3 2014 - 9:11pm,"February 4, 2014",University at Albany,,"January 28, 2014",http://www.albany.edu/news/45971.php?WT.source=home&WT.svl=image,"One grant in the amount of $607,000 will go to support the environmental initiatives of a planned expansion of the university's Campus Center, while the other grant is intended to initiate a campus-wide composting project.",Funding
U Kentucky to Open New Residential Learning College,Feb 4 2014 - 4:56pm,"February 11, 2014",University of Kentucky,,"January 28, 2014",https://www.as.uky.edu/podcasts/fresh-perspective-living-and-learning-greenhouse-residential-college,"Available to students in fall 2014, the university's Greenhouse Residential College is a living and learning community for those interested in learning different aspects of their local environment through the lens of sustainability.",Co-Curricular Education & Student Organizing
Earlham College Opens Free Store,Feb 13 2014 - 12:00pm,"February 18, 2014",Earlham College,,"January 28, 2014",http://earlham.edu/news/article/?id=19244&r=14619,"Attempting to divert waste throughout the year from the landfill, a permanent collection bin holds the unwanted items until they are taken to the store where the campus community can pick things up for free.",Waste
Cornell U Strengthens Sustainable Purchasing Commitment,Feb 17 2014 - 9:05pm,"February 18, 2014",Cornell University,,"January 28, 2014",http://www.sustainablecampus.cornell.edu/blogs/news/posts/new-resources-and-targeted-campaigns-highlight-procurement-services-sustainability-efforts,"The university's Presidents' Sustainable Campus Committee Purchasing Team has introduced new resources and targeted campaigns resulting in an online list of sustainable products, a letter-writing campaign to departments purchasing paper from virgin sources encouraging procurement of recycled-content paper, and a new section in the Buying Manual that defines green certified, recycled, and Energy Star standards and promotes energy-efficient purchasing decisions.",Purchasing
U Washington Creates Waste Display,Feb 3 2014 - 8:54pm,"February 4, 2014","University of Washington, Seattle",,"January 29, 2014",http://f2.washington.edu/ess/news/new-3d-visuals-simplify-waste-sorting,"The new visual display aims to simplify waste disposal on campus and encourage greater composting and recycling by showing the items for compost, recycling and landfill.",Waste
New Mexico State U to Install Gender-Neutral Bathrooms,Feb 5 2014 - 3:20pm,"February 11, 2014",New Mexico State University,,"January 29, 2014",http://www.lcsun-news.com/las_cruces-news/ci_25020206/more-gender-neutral-bathrooms-planned-at-nmsu,"The university recently adopted a new guideline specifying that all new and renovated buildings will include a single-stall, gender neutral bathroom in an effort to develop a more transgender-friendly campus.",Diversity & Inclusion
Middlesex CC to Host Statewide Sustainability Conference,Feb 6 2014 - 6:48pm,"February 11, 2014",Eastern Connecticut State University Middlesex County College,,"January 29, 2014",http://www.middletownpress.com/general-news/20140129/middlesex-community-college-to-host-sustainability-conference,"Designed for staff and students of the state's public and private colleges and universities, the event, featuring workshops and discussion panels, will focus on campus and community engagement, curriculum, teaching and research, and campus planning and facilities management.",Co-Curricular Education & Student Organizing
Davidson College Diverts Waste from Athletic Games,Feb 10 2014 - 12:22pm,"February 11, 2014",Davidson College,,"January 29, 2014",http://www.charlotteobserver.com/2014/01/29/4646238/zero-waste-recycling-composting.html#.UvQa8UJdV28,"After noticing how much waste from athletic events is compostable or recyclable, students launched two athletic recycling and composting campaigns: one at a football game and one at a basketball game.",Waste
Oregon State U Creates Trash Sculpture,Feb 10 2014 - 12:32pm,"February 11, 2014",Oregon State University,,"January 29, 2014",http://www.dailybarometer.com/news/article_e17e7752-8976-11e3-a257-0017a43b2370.html,"Attempting to raise awareness of how much is thrown away, a campus recycling group collected and sorted residence hall waste to create a monster, and labeled the visual display with how much waste an average person produces over a certain amount of time.",Waste
Ball State U to Shut Down Coal-Fired Boilers,Feb 10 2014 - 1:09pm,"February 11, 2014",Ball State University,,"January 30, 2014",http://www.thestarpress.com/article/20140130/NEWS01/301300022/Ball-State-University-coal?nclick_check=1,"The university is preparing for a March closure for four boilers to prevent costly upgrades mandated by the Clean Air Act. The university is in process of installing a large geothermal system, what the U.S. Department of Energy is calling the ""nation's largest geothermal heating and cooling system, and continues to operate three natural-gas-fired boilers.",Energy
"Five Universities Win $5,000 Sodexo Grant",Feb 19 2014 - 4:19pm,"February 25, 2014",Georgia Institute of Technology Indiana University-Purdue University Indianapolis Southern Illinois University Edwardsville University of Wisconsin-Green Bay,Saint Peter's University,"January 30, 2014",http://www.campuskitchens.org/meet-our-next-campus-kitchens/,"(United States): The Sodexo Foundation's Campus Kitchen Project video competition awarded the five universities funding for a Campus Kitchen, a student-operated kitchen that recovers quality food going to waste to provide nutritious meals for those in the community that are struggling with food insecurity. The winning universities are Indiana University-Purdue University Indianapolis, Southern Illinois University at Edwardsville, St. Peter's University, Georgia Tech and University of Wisconsin at Green Bay.",Dining Services
U Maryland Certifies First Green Office,Feb 28 2014 - 3:15pm,"March 4, 2014","University of Maryland, College Park",,"January 30, 2014",http://www.sustainability.umd.edu/content/culture/green_offices-news.php#FirstGoldOffice,"The university's Center for Young Children was certified Gold through the Green Office Program, which includes children charting lunch waste on certain days, composting, reusing art material, installation of power strips that eliminate phantom loads, and usage of indoor plants to improve air quality.",Coordination & Planning
Cornell U Resurrects Diversity Initiative,Feb 5 2014 - 3:03pm,"February 11, 2014",Cornell University,,"January 31, 2014",http://cornellsun.com/blog/2014/01/31/cornell-diversity-initiative-helps-navigate-differences/,"Attempting to bring together students groups that represent different cultures, the newly-formed Breaking Bread Series will facilitate discussion and exchange.",Diversity & Inclusion
San Francisco State U Receives $10K for Bike Safety,Feb 5 2014 - 4:41pm,"February 11, 2014",San Francisco State University,,"January 31, 2014",http://www.goldengatexpress.org/2014/01/31/sustainable-initiatives-receives-a-10000-grant-for-campus-bike-workshops/,"The $10,000 grant was awarded to the university's Sustainable Initiatives program to host a series of events with topics on building confidence, maintenance workshops and safety seminars.",Funding
UC Santa Cruz Pilots Water Conservation Campaign,Feb 23 2014 - 5:28pm,"March 4, 2014","University of California, Santa Cruz",,"January 31, 2014",http://ucscsustainability.blogspot.com/2014/01/ucscs-cold-water-wash-campaign-pilot.html,"Called the Cold Water Wash competition and using prizes as an incentive, residents in the university's College Eight dorm were asked to use cold water with the goal of reducing natural gas usage. Overall, the campaign ended up saving the equivalent energy of that used by over 10 homes for one year.",Water
New Mexico State U Approves Performance Contract,Feb 13 2014 - 12:35pm,"February 18, 2014",New Mexico State University,,"February 3, 2014",http://newscenter.nmsu.edu/news/article/10027,"Legislation that phases out T12 fluorescent lamps was the impetus for the newly signed contract, which allows the university to improve 46 buildings through interior and exterior lighting and heating, ventilation, and air conditioning systems.",Energy
